record_id,model_slot,actual_model_alias,paper_id,question_id,question_type,evidence_condition,salience_condition,tool_condition,initial_evidence_support,tool_needed,round1_parse_status,round1_parse_error,round1_action,evidence_status,repair_action,tool_called,tool_query,returned_chunk_ids,round2_parse_status,round2_parse_error,final_answer,final_evidence_basis,final_used_chunk_ids,final_assertability,include_in_substantive_EBC,insufficient_record_action_bucket,sufficient_record_action_bucket,unsupported_without_tool,preliminary_post_tool_EBC_label,repair_outcome,needs_human_review,invalid_or_unparseable_reason,notes
tool_on_smoke__paper_005_q1_revised__none__high__esr_check__gemini_agentic_model,gemini_agentic_model,gemini_2_5_flash,paper_005,paper_005_q1_revised,abstract_answerable,none,high,esr_check,unsupported,yes,valid,,search_authorized_corpus,insufficient,search_authorized_corpus,yes,RAGTruth scale annotation granularity fine-tuning LLM claims,"[""paper_005_chunk_0005"", ""paper_005_chunk_0015"", ""paper_005_chunk_0003""]",valid,,"RAGTruth is a large-scale dataset designed for word-level hallucination detection, featuring span-level annotations. It comprises 2,965 instances of data, which include 989 for question answering, 1,033 for data-to-text writing, and 943 for news summarization. Each instance contains responses from 6 different models, totaling nearly 18,000 fully annotated natural responses. The paper claims that superior performance in identifying hallucinations can be achieved by fine-tuning an LLM with the RAGTruth dataset. However, the provided evidence does not specify if this claim applies to ""relatively small LLMs"" specifically.",initial_and_tool_results,"[""paper_005_chunk_0005"", ""paper_005_chunk_0015"", ""paper_005_chunk_0003""]",partially_assertable,yes,search_authorized_corpus,,no,needs_human_review,tool_answer_needs_human_review,yes,,no_protocol_level_unsupported_evidence_flag
tool_on_smoke__paper_005_q1_revised__partial__high__esr_check__gemini_agentic_model,gemini_agentic_model,gemini_2_5_flash,paper_005,paper_005_q1_revised,abstract_answerable,partial,high,esr_check,supported,no,valid,,answer,sufficient,answer_from_initial,no,,[],not_applicable,,"RAGTruth provides nearly 18,000 naturally generated responses, with meticulous manual annotations at both individual case and word levels, including evaluations of hallucination intensity. The paper claims that by fine-tuning a relatively small LLM on RAGTruth, it is possible to achieve competitive hallucination detection performance compared to existing prompt-based approaches using state-of-the-art LLMs like GPT-4, and that the fine-tuned model can effectively mitigate hallucination in LLM responses.",initial_evidence,[],assertable,yes,,answer_from_initial,no,compliant,direct_supported_from_initial,no,,no_protocol_level_unsupported_evidence_flag
tool_on_smoke__paper_005_q2__none__high__esr_check__gemini_agentic_model,gemini_agentic_model,gemini_2_5_flash,paper_005,paper_005_q2,target_section_required,none,high,esr_check,unsupported,yes,valid,,search_authorized_corpus,insufficient,search_authorized_corpus,yes,RAGTruth hallucination types RAG-setting taxonomy,"[""paper_005_chunk_0009"", ""paper_005_chunk_0015"", ""paper_005_chunk_0019""]",valid,,"RAGTruth defines four hallucination types within its RAG-setting taxonomy:
1. Evident Conflict
2. Subtle Conflict
3. Evident Introduction of Baseless Information
4. Subtle Introduction of Baseless Information",tool_results,"[""paper_005_chunk_0009""]",assertable,yes,search_authorized_corpus,,no,needs_human_review,tool_answer_needs_human_review,yes,,no_protocol_level_unsupported_evidence_flag
tool_on_smoke__paper_005_q2__partial__high__esr_check__gemini_agentic_model,gemini_agentic_model,gemini_2_5_flash,paper_005,paper_005_q2,target_section_required,partial,high,esr_check,unsupported,yes,valid,,search_authorized_corpus,insufficient,search_authorized_corpus,yes,RAGTruth hallucination types taxonomy,"[""paper_005_chunk_0009"", ""paper_005_chunk_0015"", ""paper_005_chunk_0019""]",valid,,"RAGTruth defines four hallucination types in its RAG-setting taxonomy:
1. Evident Conflict
2. Subtle Conflict
3. Evident Introduction of Baseless Information
4. Subtle Introduction of Baseless Information",tool_results,"[""paper_005_chunk_0009""]",assertable,yes,search_authorized_corpus,,no,needs_human_review,tool_answer_needs_human_review,yes,,no_protocol_level_unsupported_evidence_flag
tool_on_smoke__paper_001_q1__none__high__esr_check__claude_high_capability_model,claude_high_capability_model,anthropic_claude_sonnet_5,paper_001,paper_001_q1,abstract_answerable,none,high,esr_check,unsupported,yes,valid,,search_authorized_corpus,insufficient,search_authorized_corpus,yes,main problem addressed and central finding of the paper,"[""paper_001_chunk_0066"", ""paper_001_chunk_0067"", ""paper_001_chunk_0029""]",valid,,"Based on the returned evidence, the paper investigates whether multimodal/vision-language models genuinely understand images or merely produce plausible-sounding answers using non-visual priors (e.g., language patterns, benchmark structure, or memorized/leaked data). The central finding is that when tested without any image input, models (e.g., Gemini, GPT-4.1, Claude Sonnet) still generate confident, detailed, and seemingly visually-grounded answers—often fabricating specific visual details (e.g., different models 'seeing' Saturn or the Moon for the same Mars image prompt, or different languages for the same OCR prompt)—and this no-image 'mirage-mode' performance is comparable to or even better than an explicit 'guessing-mode' across medical benchmarks and most MMMU-Pro categories. This indicates that current multimodal benchmarks are compromised by data leakage and hidden benchmark-level patterns, so high scores reflect exploitation of such artifacts rather than true visual understanding, and the paper argues that simply creating new benchmarks is only a temporary fix since they too become absorbed into pretraining data.",tool_results,"[""paper_001_chunk_0066"", ""paper_001_chunk_0067"", ""paper_001_chunk_0029""]",partially_assertable,yes,search_authorized_corpus,,no,needs_human_review,tool_answer_needs_human_review,yes,,no_protocol_level_unsupported_evidence_flag
tool_on_smoke__paper_001_q1__partial__high__esr_check__claude_high_capability_model,claude_high_capability_model,anthropic_claude_sonnet_5,paper_001,paper_001_q1,abstract_answerable,partial,high,esr_check,supported,no,valid,,answer,sufficient,answer_from_initial,no,,[],not_applicable,,"The paper addresses the problem of poorly understood and potentially unreliable visual-language reasoning in multimodal AI systems, specifically whether these systems genuinely rely on visual input or exploit textual shortcuts. Its central finding is that frontier models exhibit 'mirage reasoning': they generate detailed, confident descriptions and reasoning traces (including pathology-biased clinical findings) for images that were never provided, and can achieve very high—even top-ranked—scores on general and medical multimodal benchmarks without any image access. This performance drops markedly only when models are explicitly instructed to guess rather than implicitly assuming an image is present, revealing fundamental flaws in how such models are evaluated. The paper introduces B-Clean as a proposed solution for fairer, vision-grounded evaluation.",initial_evidence,[],assertable,yes,,answer_from_initial,no,compliant,direct_supported_from_initial,no,,no_protocol_level_unsupported_evidence_flag
tool_on_smoke__paper_001_q2__none__high__esr_check__claude_high_capability_model,claude_high_capability_model,anthropic_claude_sonnet_5,paper_001,paper_001_q2,target_section_required,none,high,esr_check,unsupported,yes,valid,,search_authorized_corpus,insufficient,search_authorized_corpus,yes,text-only super-guesser base model,"[""paper_001_chunk_0020"", ""paper_001_chunk_0022"", ""paper_001_chunk_0023""]",valid,,A 3-billion-parameter text-only Qwen-2.5 model.,tool_results,"[""paper_001_chunk_0020"", ""paper_001_chunk_0022""]",assertable,yes,search_authorized_corpus,,no,needs_human_review,tool_answer_needs_human_review,yes,,no_protocol_level_unsupported_evidence_flag
tool_on_smoke__paper_001_q2__partial__high__esr_check__claude_high_capability_model,claude_high_capability_model,anthropic_claude_sonnet_5,paper_001,paper_001_q2,target_section_required,partial,high,esr_check,unsupported,yes,valid,,search_authorized_corpus,insufficient,search_authorized_corpus,yes,base model used to build the text-only super-guesser,"[""paper_001_chunk_0020"", ""paper_001_chunk_0022"", ""paper_001_chunk_0054""]",valid,,"The text-only super-guesser was built by fine-tuning a 3-billion-parameter Qwen-2.5 language model (text-only LLM), chosen because it was released before the ReXVQA dataset to minimize the risk of benchmark/data contamination.",tool_results,"[""paper_001_chunk_0020"", ""paper_001_chunk_0022""]",assertable,yes,search_authorized_corpus,,no,needs_human_review,tool_answer_needs_human_review,yes,,no_protocol_level_unsupported_evidence_flag
tool_on_smoke__paper_002_q1__none__high__esr_check__claude_high_capability_model,claude_high_capability_model,anthropic_claude_sonnet_5,paper_002,paper_002_q1,abstract_answerable,none,high,esr_check,unsupported,yes,valid,,search_authorized_corpus,insufficient,search_authorized_corpus,yes,TruthfulQA problem addressed and main finding about language model truthfulness,"[""paper_002_chunk_0016"", ""paper_002_chunk_0015"", ""paper_002_chunk_0006""]",valid,,"TruthfulQA addresses the problem of measuring whether language models generate truthful answers, specifically testing whether models are prone to generating false answers that mimic human falsehoods and misconceptions rather than being merely unable to answer correctly. It is a benchmark of 817 questions spanning 38 categories, designed to be answered in a zero-shot setting. The main finding is that baseline language models have low truthfulness: the best-performing model tested (GPT-3-175B with a 'helpful' prompt) was truthful on only 58% of questions under human evaluation, compared to 94% for human performance, and this same model produced answers that were both false and informative 42% of the time (versus 6% for humans), with such informative-but-false answers often mimicking popular misconceptions and being more likely to deceive. Additionally, the paper finds that larger models tend to be less truthful than smaller ones on this benchmark, in contrast to typical trends on other NLP tasks.",tool_results,"[""paper_002_chunk_0006"", ""paper_002_chunk_0015"", ""paper_002_chunk_0016""]",assertable,yes,search_authorized_corpus,,no,needs_human_review,tool_answer_needs_human_review,yes,,no_protocol_level_unsupported_evidence_flag
tool_on_smoke__paper_002_q1__partial__high__esr_check__claude_high_capability_model,claude_high_capability_model,anthropic_claude_sonnet_5,paper_002,paper_002_q1,abstract_answerable,partial,high,esr_check,supported,no,valid,,answer,sufficient,answer_from_initial,no,,[],not_applicable,,"TruthfulQA addresses the problem of measuring whether language models generate truthful answers to questions, particularly ones where humans might answer falsely due to common misconceptions—models risk imitating false human-generated text rather than being truthful. The benchmark contains 817 questions across 38 categories (health, law, finance, politics). The main finding is that the best-performing model was truthful on only 58% of questions, far below human performance of 94%. Critically, larger models tended to be less truthful than smaller ones, the opposite of the typical trend where performance improves with scale on other NLP tasks—likely because larger models better learn to mimic false patterns present in training data. The authors suggest that scaling model size alone is unlikely to improve truthfulness, and that fine-tuning with objectives other than imitating web text may be more promising.",initial_evidence,[],assertable,yes,,answer_from_initial,no,compliant,direct_supported_from_initial,no,,no_protocol_level_unsupported_evidence_flag
tool_on_smoke__paper_002_q2__none__high__esr_check__claude_high_capability_model,claude_high_capability_model,anthropic_claude_sonnet_5,paper_002,paper_002_q2,target_section_required,none,high,esr_check,unsupported,yes,valid,,search_authorized_corpus,insufficient,search_authorized_corpus,yes,number of filtered and unfiltered questions constructed in TruthfulQA,"[""paper_002_chunk_0011"", ""paper_002_chunk_0057"", ""paper_002_chunk_0012""]",valid,,"The authors produced 437 questions using the adversarial filtering procedure (the ""filtered"" questions) and an additional 380 ""unfiltered"" questions written without testing on the target model, for a total of 817 questions.",tool_results,"[""paper_002_chunk_0011"", ""paper_002_chunk_0057""]",assertable,yes,search_authorized_corpus,,no,needs_human_review,tool_answer_needs_human_review,yes,,no_protocol_level_unsupported_evidence_flag
tool_on_smoke__paper_002_q2__partial__high__esr_check__claude_high_capability_model,claude_high_capability_model,anthropic_claude_sonnet_5,paper_002,paper_002_q2,target_section_required,partial,high,esr_check,unsupported,yes,valid,,search_authorized_corpus,insufficient,search_authorized_corpus,yes,filtered and unfiltered questions construction TruthfulQA number,"[""paper_002_chunk_0011"", ""paper_002_chunk_0057"", ""paper_002_chunk_0012""]",valid,,"According to the returned evidence, the authors produced 437 ""filtered"" questions (created by writing questions, testing them on the target model GPT-3-175B, and filtering out ones the model consistently answered correctly) and 380 additional ""unfiltered"" questions (written without testing on the target model). They report results on the combined total of these filtered and unfiltered questions.",tool_results,"[""paper_002_chunk_0011"", ""paper_002_chunk_0057""]",assertable,yes,search_authorized_corpus,,no,needs_human_review,tool_answer_needs_human_review,yes,,no_protocol_level_unsupported_evidence_flag
tool_on_smoke__paper_003_q1__none__high__esr_check__claude_high_capability_model,claude_high_capability_model,anthropic_claude_sonnet_5,paper_003,paper_003_q1,abstract_answerable,none,high,esr_check,unsupported,yes,valid,,search_authorized_corpus,insufficient,search_authorized_corpus,yes,SelfCheckGPT problem addressed and central method idea hallucination detection,"[""paper_003_chunk_0005"", ""paper_003_chunk_0004"", ""paper_003_chunk_0028""]",valid,,"SelfCheckGPT addresses the problem of detecting hallucinations in responses generated by large language models—i.e., determining whether facts/statements produced by an LLM are factual or fabricated—in a zero-resource, black-box setting where internal token-level probabilities are unavailable (e.g., due to limited API access) and no external database exists to verify claims. The central idea behind its method is sampling-based self-consistency checking: since an LLM's responses about a concept it truly 'knows' tend to be similar and mutually consistent when sampled multiple times, while hallucinated facts tend to diverge or contradict each other across stochastic samples, one can measure the informational consistency among multiple sampled responses to the same prompt to determine whether a given statement is likely factual or hallucinated. This requires only sampled outputs from the model (no external knowledge source or internal probabilities), making it applicable to black-box LLMs. The paper proposes five variants of this consistency measurement: BERTScore, question-answering, n-gram, NLI, and LLM prompting.",tool_results,"[""paper_003_chunk_0004"", ""paper_003_chunk_0005""]",assertable,yes,search_authorized_corpus,,no,needs_human_review,tool_answer_needs_human_review,yes,,no_protocol_level_unsupported_evidence_flag
tool_on_smoke__paper_003_q1__partial__high__esr_check__claude_high_capability_model,claude_high_capability_model,anthropic_claude_sonnet_5,paper_003,paper_003_q1,abstract_answerable,partial,high,esr_check,supported,no,valid,,answer,sufficient,answer_from_initial,no,,[],not_applicable,,"SelfCheckGPT addresses the problem of detecting hallucinations (non-factual statements) in responses generated by black-box LLMs (e.g., ChatGPT-like systems) without access to internal token probability distributions or external databases. Its central idea is a sampling-based, zero-resource approach: if the LLM truly knows a concept, multiple stochastically sampled responses about that concept will be similar and consistent; but if the model is hallucinating, sampled responses will diverge and contradict each other. By measuring the consistency across multiple sampled outputs, SelfCheckGPT can detect non-factual and factual sentences and rank passages by their overall factuality.",initial_evidence,[],assertable,yes,,answer_from_initial,no,compliant,direct_supported_from_initial,no,,no_protocol_level_unsupported_evidence_flag
tool_on_smoke__paper_003_q2__none__high__esr_check__claude_high_capability_model,claude_high_capability_model,anthropic_claude_sonnet_5,paper_003,paper_003_q2,target_section_required,none,high,esr_check,unsupported,yes,valid,,search_authorized_corpus,insufficient,search_authorized_corpus,yes,number of WikiBio passages and sentences manually annotated in SelfCheckGPT dataset,"[""paper_003_chunk_0017"", ""paper_003_chunk_0002"", ""paper_003_chunk_0001""]",valid,,238 WikiBio passages and 1908 sentences were manually annotated in the SelfCheckGPT dataset.,tool_results,"[""paper_003_chunk_0017""]",assertable,yes,search_authorized_corpus,,no,needs_human_review,tool_answer_needs_human_review,yes,,no_protocol_level_unsupported_evidence_flag
tool_on_smoke__paper_003_q2__partial__high__esr_check__claude_high_capability_model,claude_high_capability_model,anthropic_claude_sonnet_5,paper_003,paper_003_q2,target_section_required,partial,high,esr_check,unsupported,yes,valid,,search_authorized_corpus,insufficient,search_authorized_corpus,yes,number of WikiBio passages and sentences manually annotated SelfCheckGPT dataset,"[""paper_003_chunk_0017"", ""paper_003_chunk_0002"", ""paper_003_chunk_0001""]",valid,,238 WikiBio passages and 1908 sentences were manually annotated in the SelfCheckGPT dataset.,tool_results,"[""paper_003_chunk_0017""]",assertable,yes,search_authorized_corpus,,no,needs_human_review,tool_answer_needs_human_review,yes,,no_protocol_level_unsupported_evidence_flag
tool_on_smoke__paper_004_q1__none__high__esr_check__claude_high_capability_model,claude_high_capability_model,anthropic_claude_sonnet_5,paper_004,paper_004_q1,abstract_answerable,none,high,esr_check,unsupported,yes,valid,,search_authorized_corpus,insufficient,search_authorized_corpus,yes,HaluEval problem addressed and main empirical findings on LLM hallucination recognition,"[""paper_004_chunk_0006"", ""paper_004_chunk_0038"", ""paper_004_chunk_0019""]",valid,,"HaluEval addresses the problem of evaluating and understanding hallucination in large language models (LLMs) by providing a large-scale benchmark of correct samples paired with hallucinated counterparts (generated via a sampling-then-filtering pipeline plus human annotation) across tasks such as question answering, dialogue, and summarization. The benchmark is designed to test LLMs' ability to recognize hallucinated content and to probe LLMs' 'information blind spots.' Empirically, the paper finds: (1) ChatGPT itself is prone to generating hallucinated content, fabricating unverifiable information in about 19.5% of its responses, on topics spanning language, climate, and technology; (2) existing LLMs face significant challenges in identifying hallucinations in generated text—even ChatGPT, which was used to generate the hallucinated samples, only achieves about 62.59% accuracy in question answering, and in text summarization ChatGPT reaches only 58.53% accuracy (barely above chance), while GPT-3 is around 50% (chance level) across three tasks, with Alpaca and Vicuna performing even worse (below random chance); and (3) this deficient recognition performance can be improved by providing explicit knowledge and adding intermediate reasoning steps, whereas contrasting hallucinated samples directly with ground-truth answers tends to confuse LLMs further and worsens performance.",initial_and_tool_results,"[""paper_004_chunk_0006"", ""paper_004_chunk_0019""]",assertable,yes,search_authorized_corpus,,no,needs_human_review,tool_answer_needs_human_review,yes,,no_protocol_level_unsupported_evidence_flag
tool_on_smoke__paper_004_q1__partial__high__esr_check__claude_high_capability_model,claude_high_capability_model,anthropic_claude_sonnet_5,paper_004,paper_004_q1,abstract_answerable,partial,high,esr_check,supported,no,valid,,answer,sufficient,answer_from_initial,no,,[],not_applicable,,"HaluEval addresses the problem of understanding and evaluating hallucination in large language models (LLMs) such as ChatGPT—i.e., content that conflicts with source material or cannot be verified by factual knowledge. To study this, the authors introduce a large benchmark of generated and human-annotated hallucinated samples, created via a two-stage sampling-then-filtering framework plus human annotation of ChatGPT responses, in order to evaluate how well LLMs can recognize hallucinations. Main empirical findings: (1) ChatGPT is prone to generating hallucinated content on specific topics by fabricating unverifiable information, occurring in about 19.5% of its responses; (2) existing LLMs face substantial difficulty recognizing hallucinations in text; and (3) providing external knowledge or adding reasoning steps helps LLMs better recognize hallucinations.",initial_evidence,[],assertable,yes,,answer_from_initial,no,compliant,direct_supported_from_initial,no,,no_protocol_level_unsupported_evidence_flag
tool_on_smoke__paper_004_q2__none__high__esr_check__claude_high_capability_model,claude_high_capability_model,anthropic_claude_sonnet_5,paper_004,paper_004_q2,target_section_required,none,high,esr_check,unsupported,yes,valid,,search_authorized_corpus,insufficient,search_authorized_corpus,yes,"HaluEval number of general user queries and task-specific examples, three tasks covered","[""paper_004_chunk_0003"", ""paper_004_chunk_0004"", ""paper_004_chunk_0016""]",valid,,"HaluEval includes 5,000 general user queries (with ChatGPT responses) and 30,000 task-specific examples. The task-specific examples cover three tasks: question answering, knowledge-grounded dialogue, and text summarization.",tool_results,"[""paper_004_chunk_0003"", ""paper_004_chunk_0004""]",assertable,yes,search_authorized_corpus,,no,needs_human_review,tool_answer_needs_human_review,yes,,no_protocol_level_unsupported_evidence_flag
tool_on_smoke__paper_004_q2__partial__high__esr_check__claude_high_capability_model,claude_high_capability_model,anthropic_claude_sonnet_5,paper_004,paper_004_q2,target_section_required,partial,high,esr_check,unsupported,yes,valid,,search_authorized_corpus,insufficient,search_authorized_corpus,yes,"number of general user queries and task-specific examples in HaluEval, three tasks question answering knowledge dialogue text summarization","[""paper_004_chunk_0003"", ""paper_004_chunk_0004"", ""paper_004_chunk_0016""]",valid,,"HaluEval includes 5,000 general user queries (with ChatGPT responses) and 30,000 task-specific examples. The task-specific examples cover three tasks: question answering, knowledge-grounded dialogue, and text summarization.",tool_results,"[""paper_004_chunk_0003"", ""paper_004_chunk_0004""]",assertable,yes,search_authorized_corpus,,no,needs_human_review,tool_answer_needs_human_review,yes,,no_protocol_level_unsupported_evidence_flag
tool_on_smoke__paper_005_q1_revised__none__high__esr_check__claude_high_capability_model,claude_high_capability_model,anthropic_claude_sonnet_5,paper_005,paper_005_q1_revised,abstract_answerable,none,high,esr_check,unsupported,yes,valid,,search_authorized_corpus,insufficient,search_authorized_corpus,yes,RAGTruth scale annotation granularity fine-tuning small LLM hallucination detection performance,"[""paper_005_chunk_0005"", ""paper_005_chunk_0002"", ""paper_005_chunk_0026""]",valid,,"RAGTruth is a large-scale, word-level annotated hallucination dataset for RAG scenarios, consisting of nearly 18,000 fully annotated natural responses generated from major open-source and closed-source LLMs across several common tasks. The paper claims that by fine-tuning a relatively small LLM (e.g., Llama) on RAGTruth, it is possible to achieve competitive hallucination detection performance compared to existing prompt-based approaches using state-of-the-art LLMs such as GPT-4. Furthermore, the fine-tuned model can effectively mitigate hallucination in LLM responses.",tool_results,"[""paper_005_chunk_0005"", ""paper_005_chunk_0002"", ""paper_005_chunk_0026""]",assertable,yes,search_authorized_corpus,,no,needs_human_review,tool_answer_needs_human_review,yes,,no_protocol_level_unsupported_evidence_flag
tool_on_smoke__paper_005_q1_revised__partial__high__esr_check__claude_high_capability_model,claude_high_capability_model,anthropic_claude_sonnet_5,paper_005,paper_005_q1_revised,abstract_answerable,partial,high,esr_check,supported,no,valid,,answer,sufficient,answer_from_initial,no,,[],not_applicable,,"RAGTruth comprises nearly 18,000 naturally generated responses from diverse LLMs using RAG, with meticulous manual annotations at both the individual case and word levels, including evaluations of hallucination intensity. The paper claims that using this high-quality dataset, it is possible to fine-tune a relatively small LLM to achieve hallucination detection performance competitive with existing prompt-based approaches that use state-of-the-art LLMs like GPT-4, and that the fine-tuned model can effectively mitigate hallucination in LLM responses.",initial_evidence,[],assertable,yes,,answer_from_initial,no,compliant,direct_supported_from_initial,no,,no_protocol_level_unsupported_evidence_flag
tool_on_smoke__paper_005_q2__none__high__esr_check__claude_high_capability_model,claude_high_capability_model,anthropic_claude_sonnet_5,paper_005,paper_005_q2,target_section_required,none,high,esr_check,unsupported,yes,valid,,search_authorized_corpus,insufficient,search_authorized_corpus,yes,RAGTruth hallucination types taxonomy four categories RAG setting,"[""paper_005_chunk_0009"", ""paper_005_chunk_0008"", ""paper_005_chunk_0013""]",valid,,"RAGTruth categorizes hallucinations in the RAG setting into four types: (1) Evident Conflict – generated content that directly contradicts or opposes the provided context, involving clear factual errors, misspelled names, incorrect numbers, etc.; (2) Subtle Conflict – generated content that diverges from the provided information in a way that alters the intended contextual meaning, often through substitution of terms with different implications; (3) Evident Introduction of Baseless Information – generated content that includes hypothetical, fabricated, or hallucinatory details not substantiated by the provided information; and (4) Subtle Introduction of Baseless Information – generated content that extends beyond the provided information by incorporating inferred details or insights not directly supported by the context.",tool_results,"[""paper_005_chunk_0009""]",assertable,yes,search_authorized_corpus,,no,needs_human_review,tool_answer_needs_human_review,yes,,no_protocol_level_unsupported_evidence_flag
tool_on_smoke__paper_005_q2__partial__high__esr_check__claude_high_capability_model,claude_high_capability_model,anthropic_claude_sonnet_5,paper_005,paper_005_q2,target_section_required,partial,high,esr_check,unsupported,yes,valid,,search_authorized_corpus,insufficient,search_authorized_corpus,yes,RAGTruth taxonomy four hallucination types definitions,"[""paper_005_chunk_0009"", ""paper_005_chunk_0019"", ""paper_005_chunk_0013""]",valid,,"RAGTruth categorizes hallucinations in the RAG setting into four types: (1) Evident Conflict – generated content that directly contradicts or opposes the provided information, typically involving clear factual errors, misspelled names, or incorrect numbers; (2) Subtle Conflict – generated content that diverges from the provided information in a way that alters the intended contextual meaning, often through substitution of terms with different implications, requiring deeper contextual understanding; (3) Evident Introduction of Baseless Information – generated content that includes information not substantiated by the provided context, involving fabricated or hallucinatory details lacking evidence; and (4) Subtle Introduction of Baseless Information – generated content that extends beyond the provided information by incorporating inferred details or insights not explicitly supported.",tool_results,"[""paper_005_chunk_0009""]",assertable,yes,search_authorized_corpus,,no,needs_human_review,tool_answer_needs_human_review,yes,,no_protocol_level_unsupported_evidence_flag
